Oblast;Jahr;Durchschnittstemperatur_in_Grad_C
Blagoevgrad;2020;13.1
Burgas;2020;13.9
Dobrich;2020;12.6
Gabrovo;2020;11.8
Haskovo;2020;14.2
Kardzhali;2020;13.2
Kyustendil;2020;12.1
Lovech;2020;12.7
Montana;2020;12.8
Pazardzhik;2020;13.0
Pernik;2020;11.2
Pleven;2020;13.3
Plovdiv;2020;14.1
Razgrad;2020;12.2
Ruse;2020;13.5
Shumen;2020;12.4
Silistra;2020;13.1
Sliven;2020;13.6
Smolyan;2020;8.9
Sofia (Oblast);2020;10.6
Sofia-Stadt;2020;11.9
Stara Zagora;2020;13.8
Targovishte;2020;12.5
Varna;2020;13.7
Veliko Tarnovo;2020;13.2
Vidin;2020;13.1
Vratsa;2020;12.7
Yambol;2020;14.0
