kanton,Lufttemperatur_degC,Niederschlag_mm
Zürich,11.1,925
Bern,10.2,890
Luzern,11.2,1040
Uri,11.3,980
Schwyz,11.4,1010
Obwalden,11.0,995
Nidwalden,11.2,1005
Glarus,10.7,1220
Zug,11.3,960
Freiburg,10.8,915
Solothurn,11.1,820
Basel-Stadt,12.1,675
Basel-Landschaft,11.7,730
Schaffhausen,10.9,710
Appenzell Ausserrhoden,9.6,1210
Appenzell Innerrhoden,9.4,1280
St. Gallen,9.4,1165
Graubünden,11.0,740
Aargau,11.0,775
Thurgau,10.9,815
Ticino,13.8,1620
Vaud,11.7,840
Valais,11.6,520
Neuchâtel,11.0,870
Geneva,12.1,760
Jura,10.8,895
Switzerland,6.9,1211
